"appid","time0","grade","reviews"
"295110",1420848000,68,29898
"322330",1418601600,97,11175
"346900",1427673600,93,10491
"346010",1422403200,98,9407
"313120",1420761600,91,9386
"302830",1418947200,57,8776
"332800",1415664000,96,7403
"307780",1422921600,64,6946
"331470",1416268800,93,6301
"261570",1425081600,96,5777
"322170",1419206400,98,5753
"363970",1431561600,92,5287
"344760",1425254400,71,5086
"355840",1427760000,54,4881
"262060",1419292800,89,4656
"354140",1425340800,95,4556
"310370",1419897600,81,4275
"335240",1421884800,83,3429
"294860",1414627200,94,3107
"316390",1419897600,48,3093
"333600",1417651200,96,2820
"335300",1427932800,83,2681
"339800",1421107200,96,2650
"244160",1422144000,86,2606
"330840",1416441600,88,2577
